Partition_Key, Apparent_Temperature, Cloud_Cover, Dew_Point, Humidity, Icon, Local_Time, Ozone, Precip_Accumulation, Precip_Intensity, Precip_Probability, Precip_Type, Pressure, Summary, Temperature, UTC_Time, Visibility, Wind_Bearing, Wind_Speed
CYYZ,17.73,0.05,11.86,0.68,clear-day,10/05/2017 11:00,290.15,0,0.0025,0.01,rain,1020.62,Clear,17.73,10/05/2017 15:00,16.09,251,10.85
CYYZ,18.99,0.11,11.79,0.63,clear-day,10/05/2017 12:00,290.66,0,0.0025,0.02,rain,1019.87,Clear,18.99,10/05/2017 16:00,16.09,259,11.84
CYYZ,20.13,0.19,10.92,0.55,clear-day,10/05/2017 13:00,290.83,0,0.0025,0.02,rain,1019.21,Clear,20.13,10/05/2017 17:00,16.09,259,14.26
CYYZ,21.27,0.14,10.32,0.5,clear-day,10/05/2017 14:00,290.23,0,0.0025,0.01,rain,1018.25,Clear,21.27,10/05/2017 18:00,16.09,252,15.06
CYYZ,22.12,0.04,9.97,0.46,clear-day,10/05/2017 15:00,291.29,0,0.0025,0.01,rain,1017.59,Clear,22.12,10/05/2017 19:00,16.09,256,14.5
CYYZ,22.63,0.03,8.73,0.41,clear-day,10/05/2017 16:00,292.48,0,0.0025,0.01,rain,1017.22,Clear,22.63,10/05/2017 20:00,16.09,263,15.37
CYYZ,22.17,0.05,6.4,0.36,clear-day,10/05/2017 17:00,293.43,0,0,0,rain,1016.82,Clear,22.17,10/05/2017 21:00,16.09,254,16.98
CYYZ,21.34,0.12,5.73,0.36,clear-day,10/05/2017 18:00,294.15,0,0,0,rain,1016.62,Clear,21.34,10/05/2017 22:00,16.09,168,10.67
CYYZ,20.07,0.31,5.57,0.39,partly-cloudy-night,10/05/2017 19:00,294.55,0,0.0025,0.01,rain,1017.15,Partly Cloudy,20.07,10/05/2017 23:00,16.09,356,9.85
CYYZ,19.08,0.36,6.83,0.45,partly-cloudy-night,10/05/2017 20:00,292.47,0,0.0025,0.01,rain,1017.54,Partly Cloudy,19.08,10/06/2017 0:00,16.09,285,10.98
CYYZ,18.28,0.4,7.45,0.49,partly-cloudy-night,10/05/2017 21:00,291.36,0,0.0025,0.01,rain,1018.13,Partly Cloudy,18.28,10/06/2017 1:00,16.09,299,6.47
CYYZ,17.8,0.78,7.83,0.52,partly-cloudy-night,10/05/2017 22:00,290,0,0,0,rain,1018.08,Mostly Cloudy,17.8,10/06/2017 2:00,16.09,254,2.41
CYYZ,17.13,0.7,8.41,0.56,partly-cloudy-night,10/05/2017 23:00,288.87,0,0,0,rain,1018.08,Mostly Cloudy,17.13,10/06/2017 3:00,16.09,287,3.89
CYYZ,16.57,0.68,8.85,0.6,partly-cloudy-night,10/06/2017 0:00,288.35,0,0,0,rain,1018.15,Mostly Cloudy,16.57,10/06/2017 4:00,16.09,315,1.77
CYYZ,16.28,0.7,9.61,0.65,partly-cloudy-night,10/06/2017 1:00,288.09,0,0,0,rain,1017.84,Mostly Cloudy,16.28,10/06/2017 5:00,16.09,234,1.95
CYYZ,15.81,0.32,10.77,0.72,partly-cloudy-night,10/06/2017 2:00,289.03,0,0,0,rain,1018.19,Partly Cloudy,15.81,10/06/2017 6:00,16.09,250,2.64
CYYZ,15.22,0.75,11.57,0.79,partly-cloudy-night,10/06/2017 3:00,288.62,0,0.0483,0.07,rain,1018.19,Mostly Cloudy,15.22,10/06/2017 7:00,16.09,179,3.35
CYYZ,15.03,0.98,11.91,0.82,rain,10/06/2017 4:00,288.26,0,0.2515,0.21,rain,1018.03,Light Rain,15.03,10/06/2017 8:00,16.09,31,5.65
CYYZ,14.86,0.46,11.99,0.83,rain,10/06/2017 5:00,287.89,0,0.3048,0.23,rain,1017.75,Light Rain,14.86,10/06/2017 9:00,16.09,331,2.2
CYYZ,14.94,0.78,12.05,0.83,rain,10/06/2017 6:00,287.7,0,0.2819,0.24,rain,1018.16,Light Rain,14.94,10/06/2017 10:00,16.09,318,0.84
CYYZ,14.64,0.78,11.86,0.83,rain,10/06/2017 7:00,287.5,0,0.2464,0.24,rain,1018.21,Light Rain,14.64,10/06/2017 11:00,16.09,223,1.32
CYYZ,14.87,0.31,12.21,0.84,rain,10/06/2017 8:00,284.96,0,0.2997,0.26,rain,1018.48,Light Rain,14.87,10/06/2017 12:00,16.09,257,2.29
CYYZ,15.42,0.34,12.47,0.83,rain,10/06/2017 9:00,283.95,0,0.1753,0.18,rain,1018.76,Drizzle,15.42,10/06/2017 13:00,16.09,277,1.98
CYYZ,16.59,0.66,12.72,0.78,partly-cloudy-day,10/06/2017 10:00,282.84,0,0.0432,0.08,rain,1018.75,Mostly Cloudy,16.59,10/06/2017 14:00,16.09,234,2.86
CYYZ,17.75,0.77,12.5,0.71,partly-cloudy-day,10/06/2017 11:00,281.61,0,0.0102,0.02,rain,1018.66,Mostly Cloudy,17.75,10/06/2017 15:00,16.09,246,5.71
CYYZ,18.16,0.82,12.39,0.69,partly-cloudy-day,10/06/2017 12:00,280.25,0,0.0076,0.02,rain,1018.46,Mostly Cloudy,18.16,10/06/2017 16:00,16.09,234,5.31
CYYZ,18.88,0.79,12.9,0.68,partly-cloudy-day,10/06/2017 13:00,278.88,0,0.0127,0.02,rain,1018.22,Mostly Cloudy,18.88,10/06/2017 17:00,16.09,226,5.05
CYYZ,18.88,0.79,12.56,0.67,partly-cloudy-day,10/06/2017 14:00,276.72,0,0.0127,0.01,rain,1017.84,Mostly Cloudy,18.88,10/06/2017 18:00,16.09,233,4.81
CYYZ,19.18,0.6,12.98,0.67,partly-cloudy-day,10/06/2017 15:00,275.84,0,0.0178,0.02,rain,1017.22,Mostly Cloudy,19.18,10/06/2017 19:00,16.09,202,4.43
CYYZ,19.11,0.6,13.17,0.68,partly-cloudy-day,10/06/2017 16:00,275.38,0,0.0229,0.03,rain,1016.91,Mostly Cloudy,19.11,10/06/2017 20:00,16.09,182,4.41
CYYZ,19.08,0.82,12.89,0.67,partly-cloudy-day,10/06/2017 17:00,275.11,0,0.0229,0.03,rain,1016.65,Mostly Cloudy,19.08,10/06/2017 21:00,16.09,137,4.52
